621.wrf_s-8100B.champsimtrace.xzcumulative IPC: 0.6452 0.644858 623232 85659   107343 166460 110255 90287 56205 17056 56205 1.86995e+06 1.69302e+06 176934 283833 241234 42599
623.xalancbmk_s-10B.champsimtrace.xzcumulative IPC: 0.301521 0.145242 5553491 5443797   1.67094e+06 1.15045e+07 5.41516e+06 1.54048e+06 6.08934e+06 130463 6.09152e+06 1.17389e+07 3.53452e+06 8.20442e+06 8.99169e+06 1.14787e+06 7.84382e+06
623.xalancbmk_s-325B.champsimtrace.xzcumulative IPC: 0.446622 0.166766 10806559 1127154   219652 1.31713e+06 1.1436e+06 197748 173522 21904 173547 1.89113e+07 1.74031e+07 1.50822e+06 2.0223e+06 1.64418e+06 378111
623.xalancbmk_s-592B.champsimtrace.xzcumulative IPC: 0.41122 0.233128 12146982 3582480   922587 3.95742e+06 3.73131e+06 905951 226106 16636 226184 2.20148e+07 1.70473e+07 4.96747e+06 5.95973e+06 5.42395e+06 535782
625.x264_s-12B.champsimtrace.xzcumulative IPC: 1.12164 0.581187 87502 56752   67008 115295 69799 64588 45496 2420 45496 167693 99648 68045 70311 31079 39232
625.x264_s-18B.champsimtrace.xzcumulative IPC: 1.14666 0.441346 958491 97811   90279 204554 110777 89293 93777 986 93777 1.91421e+06 1.76952e+06 144685 180008 58522 121486
625.x264_s-33B.champsimtrace.xzcumulative IPC: 1.13215 0.461872 79547 58115   61295 132710 66816 61127 65894 168 65894 153802 83970 69832 72012 6705 65307
625.x264_s-39B.champsimtrace.xzcumulative IPC: 1.25112 0.444145 1371325 281845   206021 463860 288644 196250 175216 9771 175216 2.87402e+06 2.44722e+06 426800 558376 285000 273376
625.x264_s-20B.champsimtrace.xzcumulative IPC: 1.16868 0.486262 262436 176614   209601 431045 230769 208114 200276 1487 200276 752055 496976 255079 339463 130579 208884
623.xalancbmk_s-700B.champsimtrace.xzcumulative IPC: 0.3817 0.216545 13970164 3762652   864137 3.99057e+06 3.75284e+06 845352 237723 18785 237790 2.47303e+07 1.96465e+07 5.08389e+06 5.98858e+06 5.54152e+06 447060
638.imagick_s-10316B.champsimtrace.xzcumulative IPC: 1.69294 0.437568 2433130 11973   14494 33124 19118 14423 14006 71 14006 4.21603e+06 4.20352e+06 12507 12554 4715 7839
638.imagick_s-4128B.champsimtrace.xzcumulative IPC: 1.3627 0.495812 32286 20530   25988 52415 26207 25988 26208 0 26208 54501 32892 21609 22126 517 21609
